Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Golden Gate Park,KIVq5BlJKTipwtB3NATX0g,4.5,https://www.yelp.com/biz/golden-gate-park-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.77,-122.45,#N/A,37.77-122.45,#N/A
Fort Funston,-fqw8aDcx1Sgjs-4u__Aiw,5,https://www.yelp.com/biz/fort-funston-san-francisco-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.71,-122.5,#N/A,37.71-122.5,#N/A
Lands End Trail,yniMfk_yS1sk9dxPLDVchg,5,https://www.yelp.com/biz/lands-end-trail-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.78,-122.51,#N/A,37.78-122.51,#N/A
Port View Park,7bKYurFkOUaa3HszCLA61A,3.5,https://www.yelp.com/biz/port-view-park-oakland?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.81,-122.33,#N/A,37.81-122.33,#N/A
Presidio Tunnel Tops,wKVM-owTKAEq8dzCq2kQ2w,4.5,https://www.yelp.com/biz/presidio-tunnel-tops-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.8,-122.47,#N/A,37.8-122.47,37.8-122.47
Mori Point,pUlMUwqRGDJxC4vhr5mxMw,4.5,https://www.yelp.com/biz/mori-point-pacifica?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.62,-122.49,#N/A,37.62-122.49,#N/A
Mount Tamalpais State Park,qNofH4EON-Cyg0LNboBtEg,5,https://www.yelp.com/biz/mount-tamalpais-state-park-mill-valley?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.89,-122.61,#N/A,37.89-122.61,#N/A
The Presidio,TuZXDDYPaXQGN4hLhMCszQ,4.5,https://www.yelp.com/biz/the-presidio-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.8,-122.47,#N/A,37.8-122.47,37.8-122.47
San Bruno Mountain State & County Park,7AYEwUxd9C6mSvqN8pvhQQ,4.5,https://www.yelp.com/biz/san-bruno-mountain-state-and-county-park-brisbane?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.7,-122.43,#N/A,37.7-122.43,#N/A
Golden Gate National Recreation Area,DJyWDgZevyXmUsO74HnUtQ,4.5,https://www.yelp.com/biz/golden-gate-national-recreation-area-san-francisco-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.81,-122.43,Golden Gate National Recreation Area,37.81-122.43,#N/A
Tilden Regional Park,4LS2pBY0vUvRK-ra9wPo5Q,4.5,https://www.yelp.com/biz/tilden-regional-park-berkeley-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.89,-122.25,#N/A,37.89-122.25,#N/A
Grandview Park,dvUv35RQlpjA4rHzqJ_MzQ,5,https://www.yelp.com/biz/grandview-park-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.76,-122.47,#N/A,37.76-122.47,#N/A
Lands End,fGLexj1k40gCUzfAwXF3Yg,5,https://www.yelp.com/biz/lands-end-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.79,-122.51,#N/A,37.79-122.51,#N/A
Kirby Cove,gHodgsllcjZe8e4HhZoVKQ,4.5,https://www.yelp.com/biz/kirby-cove-sausalito-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.83,-122.49,#N/A,37.83-122.49,#N/A
Marin Headlands,1r1kRvUc6eJO0KGGtSCF1g,5,https://www.yelp.com/biz/marin-headlands-sausalito?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.83,-122.5,#N/A,37.83-122.5,#N/A
China Beach,_9P8GvsGZYexKn2gmXbUMA,4.5,https://www.yelp.com/biz/china-beach-san-francisco?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.79,-122.49,#N/A,37.79-122.49,#N/A
Muir Beach,RfhK07XqbafJDgFMsYLaAA,4.5,https://www.yelp.com/biz/muir-beach-muir-beach-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,CA,US,37.86,-122.58,#N/A,37.86-122.58,#N/A
