Name,Business Id,Rating,Url,State,Country,Latitude,Longitude
Ferncliff Camp,kjoVD81udXYsXxjC5Bficg,4.5,https://www.yelp.com/biz/ferncliff-camp-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.77,-92.57
Little Rock Zoo,3SkJijJu4_5bFtIBKIXeTQ,3.5,https://www.yelp.com/biz/little-rock-zoo-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.75,-92.33
Matt Mcleod Gallery,tKVU2dI1RzMzvgTp4o1aaA,5.0,https://www.yelp.com/biz/matt-mcleod-gallery-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.74,-92.27
Arkansas National Guard Museum,mwsG3hoyceiMiiE2JvAi2g,5.0,https://www.yelp.com/biz/arkansas-national-guard-museum-north-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.83,-92.29
Sidney S. McMath Library,BHV4u61GsxTodzn_wtGnxg,4.5,https://www.yelp.com/biz/sidney-s-mcmath-library-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.73,-92.37
Cabot Aquatic Park,yR43HTqlSwLdra1n4jg55w,3.5,https://www.yelp.com/biz/cabot-aquatic-park-cabot?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.94,-92.03
M2 Gallery,oCFhMmwNJMuJHBfyZDv0Rw,5.0,https://www.yelp.com/biz/m2-gallery-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.74,-92.27
Arkansas Department of Parks & Tourism,ko1-woXw4ZQVoR38v82FMg,5.0,https://www.yelp.com/biz/arkansas-department-of-parks-and-tourism-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.75,-92.29
Little Rock Central High School National Historic Site,oV0elUPBeGc_gPhBTPJEug,5.0,https://www.yelp.com/biz/little-rock-central-high-school-national-historic-site-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.74,-92.3
Expressway Airport Parking,r8_OepsYgBICJVStwWM_Uw,4.5,https://www.yelp.com/biz/expressway-airport-parking-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.72,-92.23
Bark Bar,EcoXTeHyIX16CnaMnV7Ypg,4.0,https://www.yelp.com/biz/bark-bar-little-rock-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.74,-92.28
Red Door Gallery,h4W3GTX1cUfbYt2Sx2Ra3Q,4.5,https://www.yelp.com/biz/red-door-gallery-north-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.79,-92.26
St Joseph Center of Arkansas,OTyxTdOrc7wg2U6aY_D01g,5.0,https://www.yelp.com/biz/st-joseph-center-of-arkansas-north-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.82,-92.27
National Car Rental,7GJu8svAx_B0dmXIUdfvmw,3.0,https://www.yelp.com/biz/national-car-rental-little-rock-8?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.73,-92.22
